Response,Correct value,Right Answer,Type,Text,Color,Trial Type,Response Time,Participant ID,Participant Type
j,left,,FlankerTrial,,,,22.645308499981184,,pilot
j,left,,FlankerTrial,,,,23.345404500025325,,pilot
j,left,,FlankerTrial,,,,23.747677800012752,,pilot
j,left,,FlankerTrial,,,,24.170663199969567,,pilot
j,left,,FlankerTrial,,,,24.628430699987803,,pilot
f,left,,FlankerTrial,,,,27.38499429996591,,pilot
f,left,,FlankerTrial,,,,28.015598200028762,,pilot
j,left,,FlankerTrial,,,,28.37399670004379,,pilot
f,left,,FlankerTrial,,,,28.659195200016256,,pilot
j,right,,FlankerTrial,,,,28.953594199963845,,pilot
f,right,,FlankerTrial,,,,29.120001000002958,,pilot
j,right,,FlankerTrial,,,,29.305795399995986,,pilot
f,right,,FlankerTrial,,,,29.48837239999557,,pilot
j,right,,FlankerTrial,,,,29.729749499994796,,pilot
f,right,,FlankerTrial,,,,29.927639900008217,,pilot
j,right,,FlankerTrial,,,,30.1158768000314,,pilot
f,right,,FlankerTrial,,,,30.336944399983622,,pilot
j,right,,FlankerTrial,,,,30.530929900007322,,pilot
j,,b,StroopTrial,,blue,,29.38275380001869,,pilot
f,,r,StroopTrial,,red,,29.59651139995549,,pilot
j,,g,StroopTrial,,green,,30.110972100053914,,pilot
f,,y,StroopTrial,,yellow,,30.302340299997013,,pilot
j,,r,StroopTrial,,red,,30.57974989997456,,pilot
f,,g,StroopTrial,,green,,30.775055899983272,,pilot
j,,y,StroopTrial,,yellow,,31.123112500004936,,pilot
f,,b,StroopTrial,,blue,,31.28986859996803,,pilot
j,,g,StroopTrial,,green,,31.606290199968498,,pilot
f,,y,StroopTrial,,yellow,,31.810263000021223,,pilot
j,,b,StroopTrial,,blue,,32.20707440003753,,pilot
f,,r,StroopTrial,,red,,32.36544439999852,,pilot
j,,y,StroopTrial,,yellow,,32.76292020000983,,pilot
f,,b,StroopTrial,,blue,,32.893676200008485,,pilot
j,,r,StroopTrial,,red,,33.209881699993275,,pilot
f,,g,StroopTrial,,green,,33.393097400025,,pilot
f,left,,FlankerTrial,,,,36.396308100025635,,pilot
j,left,,FlankerTrial,,,,36.641890799975954,,pilot
f,left,,FlankerTrial,,,,36.68609049997758,,pilot
j,left,,FlankerTrial,,,,36.832342999987304,,pilot
f,left,,FlankerTrial,,,,36.956047800020315,,pilot
j,left,,FlankerTrial,,,,37.091939400008414,,pilot
f,left,,FlankerTrial,,,,37.18290250003338,,pilot
j,left,,FlankerTrial,,,,37.33109019999392,,pilot
f,left,,FlankerTrial,,,,37.444931800011545,,pilot
j,right,,FlankerTrial,,,,37.580140199977905,,pilot
f,right,,FlankerTrial,,,,37.693449199956376,,pilot
j,right,,FlankerTrial,,,,37.732948199962266,,pilot
j,right,,FlankerTrial,,,,37.95727639994584,,pilot
f,right,,FlankerTrial,,,,38.1645118999877,,pilot
j,right,,FlankerTrial,,,,38.252218499954324,,pilot
f,right,,FlankerTrial,,,,38.332591100013815,,pilot
j,right,,FlankerTrial,,,,38.43821599998046,,pilot
f,right,,FlankerTrial,,,,38.514513099973556,,pilot
f,,b,StroopTrial,,blue,,37.477875599986874,,pilot
j,,r,StroopTrial,,red,,37.89850849995855,,pilot
f,,g,StroopTrial,,green,,38.007003400009125,,pilot
j,,y,StroopTrial,,yellow,,38.17529179999838,,pilot
f,,r,StroopTrial,,red,,38.35444100003224,,pilot
j,,g,StroopTrial,,green,,38.54555280000204,,pilot
f,,y,StroopTrial,,yellow,,38.75107600004412,,pilot
j,,b,StroopTrial,,blue,,38.96638009999879,,pilot
f,,g,StroopTrial,,green,,39.17022010002984,,pilot
j,,y,StroopTrial,,yellow,,39.36073229997419,,pilot
f,,b,StroopTrial,,blue,,39.53552640002454,,pilot
j,,r,StroopTrial,,red,,39.74003459996311,,pilot
f,,y,StroopTrial,,yellow,,39.905454299994744,,pilot
j,,b,StroopTrial,,blue,,40.09509239997715,,pilot
f,,r,StroopTrial,,red,,40.32635139999911,,pilot
j,,g,StroopTrial,,green,,40.561942200001795,,pilot
j,left,,FlankerTrial,,,,43.57650810002815,,pilot
j,left,,FlankerTrial,,,,47.74452549999114,,pilot
f,left,,FlankerTrial,,,,48.3017908000038,,pilot
j,left,,FlankerTrial,,,,48.63258069998119,,pilot
f,left,,FlankerTrial,,,,48.771368300018366,,pilot
j,left,,FlankerTrial,,,,48.915466899983585,,pilot
f,left,,FlankerTrial,,,,49.03399630001513,,pilot
j,left,,FlankerTrial,,,,49.23824599996442,,pilot
f,left,,FlankerTrial,,,,49.34929260000354,,pilot
j,right,,FlankerTrial,,,,49.51873740000883,,pilot
f,right,,FlankerTrial,,,,49.694473200012,,pilot
j,right,,FlankerTrial,,,,49.87311620003311,,pilot
f,right,,FlankerTrial,,,,50.04874759999802,,pilot
j,right,,FlankerTrial,,,,50.21776659996249,,pilot
f,right,,FlankerTrial,,,,50.37454940000316,,pilot
j,right,,FlankerTrial,,,,50.545714600011706,,pilot
f,right,,FlankerTrial,,,,50.682151600020006,,pilot
j,right,,FlankerTrial,,,,50.84252579999156,,pilot
j,,b,StroopTrial,,blue,,51.788321600004565,,pilot
f,,r,StroopTrial,,red,,52.33903669996653,,pilot
j,,g,StroopTrial,,green,,52.55259480001405,,pilot
f,,y,StroopTrial,,yellow,,52.742329699976835,,pilot
j,,r,StroopTrial,,red,,52.94015010003932,,pilot
f,,g,StroopTrial,,green,,53.153911000001244,,pilot
j,,y,StroopTrial,,yellow,,53.72736920003081,,pilot
j,,b,StroopTrial,,blue,,54.34931379999034,,pilot
f,,g,StroopTrial,,green,,54.87378490000265,,pilot
j,,y,StroopTrial,,yellow,,55.29699340002844,,pilot
f,,b,StroopTrial,,blue,,55.739893199992366,,pilot
j,,r,StroopTrial,,red,,56.56927200005157,,pilot
f,,y,StroopTrial,,yellow,,57.19018879998475,,pilot
j,,b,StroopTrial,,blue,,58.082844500022475,,pilot
f,,r,StroopTrial,,red,,58.98607060004724,,pilot
j,,g,StroopTrial,,green,,59.62111279997043,,pilot
j,left,,FlankerTrial,,,,23.05433350004023,,pilot
f,left,,FlankerTrial,,,,23.200145299953874,,pilot
j,left,,FlankerTrial,,,,23.36707410000963,,pilot
f,left,,FlankerTrial,,,,23.556271200010087,,pilot
j,left,,FlankerTrial,,,,24.410625000018626,,pilot
f,left,,FlankerTrial,,,,24.640151100000367,,pilot
j,left,,FlankerTrial,,,,25.168321100005414,,pilot
f,left,,FlankerTrial,,,,25.464056800003164,,pilot
j,left,,FlankerTrial,,,,26.67480339994654,,pilot
j,right,,FlankerTrial,,,,28.583000499987975,,pilot
j,right,,FlankerTrial,,,,29.283175400050823,,pilot
j,right,,FlankerTrial,,,,29.921655300015118,,pilot
j,right,,FlankerTrial,,,,30.399831000017002,,pilot
j,right,,FlankerTrial,,,,30.94562109996332,,pilot
j,right,,FlankerTrial,,,,31.398176999995485,,pilot
j,right,,FlankerTrial,,,,31.830846199998632,,pilot
j,right,,FlankerTrial,,,,32.23115400003735,,pilot
j,right,,FlankerTrial,,,,32.72287060000235,,pilot
f,,b,StroopTrial,,blue,,48.20871929998975,,pilot
j,,r,StroopTrial,,red,,49.56494830001611,,pilot
j,,g,StroopTrial,,green,,60.43438509997213,,pilot
f,,y,StroopTrial,,yellow,,60.88810439995723,,pilot
j,,r,StroopTrial,,red,,61.57475580001483,,pilot
j,,g,StroopTrial,,green,,62.30499199999031,,pilot
f,,y,StroopTrial,,yellow,,63.231191399972886,,pilot
j,,b,StroopTrial,,blue,,71.15682570001809,,pilot
f,,g,StroopTrial,,green,,71.42688510002336,,pilot
j,,y,StroopTrial,,yellow,,71.59939390001819,,pilot
j,,b,StroopTrial,,blue,,71.99584059999324,,pilot
f,,r,StroopTrial,,red,,73.01820269995369,,pilot
j,,y,StroopTrial,,yellow,,85.54313010000624,,pilot
f,,b,StroopTrial,,blue,,85.67453229997773,,pilot
j,,r,StroopTrial,,red,,85.75167740002507,,pilot
f,,g,StroopTrial,,green,,85.93344570003683,,pilot
f,left,,FlankerTrial,,,,88.31043129996397,,pilot
j,left,,FlankerTrial,,,,88.67391749995295,,pilot
f,left,,FlankerTrial,,,,88.78287290001754,,pilot
j,left,,FlankerTrial,,,,88.87425489997258,,pilot
f,left,,FlankerTrial,,,,89.0228400999913,,pilot
j,left,,FlankerTrial,,,,89.13018089998513,,pilot
j,left,,FlankerTrial,,,,90.39916540001286,,pilot
j,left,,FlankerTrial,,,,90.90641390002565,,pilot
f,left,,FlankerTrial,,,,98.07220730005065,,pilot
j,right,,FlankerTrial,,,,99.44065399997635,,pilot
j,right,,FlankerTrial,,,,107.33230539999204,,pilot
f,right,,FlankerTrial,,,,107.43030810001073,,pilot
j,right,,FlankerTrial,,,,107.45401349995518,,pilot
f,right,,FlankerTrial,,,,107.59878929995466,,pilot
j,right,,FlankerTrial,,,,107.64893739996478,,pilot
f,right,,FlankerTrial,,,,107.76445760001661,,pilot
j,right,,FlankerTrial,,,,107.82690450001974,,pilot
f,right,,FlankerTrial,,,,107.92749109998113,,pilot
f,,b,StroopTrial,,blue,,107.02684629999567,,pilot
j,,r,StroopTrial,,red,,107.19080219999887,,pilot
f,,g,StroopTrial,,green,,107.38892729999498,,pilot
j,,y,StroopTrial,,yellow,,107.5312518000137,,pilot
f,,r,StroopTrial,,red,,107.68778779997956,,pilot
j,,g,StroopTrial,,green,,107.81363410002086,,pilot
f,,y,StroopTrial,,yellow,,107.98775179998484,,pilot
j,,b,StroopTrial,,blue,,108.12138640001649,,pilot
f,,g,StroopTrial,,green,,108.2468764000223,,pilot
j,,y,StroopTrial,,yellow,,108.38005540001905,,pilot
f,,b,StroopTrial,,blue,,108.49010330002056,,pilot
j,,r,StroopTrial,,red,,108.62344809999922,,pilot
f,,y,StroopTrial,,yellow,,108.71680579998065,,pilot
j,,b,StroopTrial,,blue,,108.85051190003287,,pilot
f,,r,StroopTrial,,red,,108.94495749997441,,pilot
j,,g,StroopTrial,,green,,109.06206369999563,,pilot
j,left,,FlankerTrial,,,,110.43151470000157,,pilot
j,left,,FlankerTrial,,,,110.74221559998114,,pilot
f,left,,FlankerTrial,,,,110.78138840000611,,pilot
j,left,,FlankerTrial,,,,110.85009600000922,,pilot
f,left,,FlankerTrial,,,,110.9641959000146,,pilot
j,left,,FlankerTrial,,,,110.91400359995896,,pilot
j,left,,FlankerTrial,,,,111.014877300011,,pilot
f,left,,FlankerTrial,,,,111.14062990003731,,pilot
j,left,,FlankerTrial,,,,111.09271399996942,,pilot
j,right,,FlankerTrial,,,,111.13709899998503,,pilot
f,right,,FlankerTrial,,,,111.39038170001004,,pilot
j,right,,FlankerTrial,,,,111.47389060002752,,pilot
j,right,,FlankerTrial,,,,111.66594750003424,,pilot
f,right,,FlankerTrial,,,,111.75348630000371,,pilot
j,right,,FlankerTrial,,,,111.81666840001708,,pilot
j,right,,FlankerTrial,,,,112.00130280002486,,pilot
f,right,,FlankerTrial,,,,112.10302630002843,,pilot
j,right,,FlankerTrial,,,,112.21431589999702,,pilot
f,,b,StroopTrial,,blue,,112.56941980001284,,pilot
j,,r,StroopTrial,,red,,112.73578490002546,,pilot
j,,False,StroopTrial,,green,,112.91596190002747,,pilot
j,,y,StroopTrial,,yellow,,113.16982569999527,,pilot
j,,r,StroopTrial,,red,,113.3514923999901,,pilot
f,,g,StroopTrial,,green,,113.44579200004227,,pilot
j,,y,StroopTrial,,yellow,,113.63523980003083,,pilot
j,,b,StroopTrial,,blue,,113.7849683999666,,pilot
f,,g,StroopTrial,,green,,113.91756520001218,,pilot
j,,y,StroopTrial,,yellow,,114.11505389999365,,pilot
j,,b,StroopTrial,,blue,,114.2566291000112,,pilot
f,,r,StroopTrial,,red,,114.44698589999462,,pilot
j,,y,StroopTrial,,yellow,,114.62085329997353,,pilot
j,,b,StroopTrial,,blue,,114.81025419995422,,pilot
f,,r,StroopTrial,,red,,114.90285219997168,,pilot
j,,g,StroopTrial,,green,,114.9885017000488,,pilot
